Airport,Airport Code,Year,Month,TOTAL
Seattle/Tacoma International,SEA,2021,5,"1,458,232"
Seattle/Tacoma International,SEA,2021,6,"1,839,652"
Seattle/Tacoma International,SEA,2021,7,"2,059,886"
Seattle/Tacoma International,SEA,2021,8,"1,994,979"
Seattle/Tacoma International,SEA,2021,9,"1,644,116"
Seattle/Tacoma International,SEA,2021,10,"1,678,944"
Seattle/Tacoma International,SEA,2021,11,"1,613,612"
Seattle/Tacoma International,SEA,2021,12,"1,586,973"
Seattle/Tacoma International,SEA,2021,TOTAL,"17,376,107"
Seattle/Tacoma International,SEA,2022,1,
Seattle/Tacoma International,SEA,2022,2,
Seattle/Tacoma International,SEA,2022,3,
Seattle/Tacoma International,SEA,2022,TOTAL,0
